iPhone9,2 : iPhone 7 Plus (Verizon/Sprint/China/A1661)
iPhone9,3 : iPhone 7 (AT&T/T-Mobile/Global/A1778)
iPhone9,4 : iPhone 7 Plus (AT&T/T-Mobile/Global/A1784)
iPhone10,1 : iPhone 8 (Verizon/Sprint/China/A1863)
iPhone10,2 : iPhone 8 Plus (Verizon/Sprint/China/A1864)
iPhone10,3 : iPhone X (Verizon/Sprint/China/A1865)
iPhone10,4 : iPhone 8 (AT&T/T-Mobile/Global/A1905)
iPhone10,5 : iPhone 8 Plus (AT&T/T-Mobile/Global/A1897)
iPhone10,6 : iPhone X (AT&T/T-Mobile/Global/A1901)
iPhone11,2 : iPhone Xs (Global/A2097)
iPhone11,6 : iPhone Xs Max (Global/A2101)
iPhone11,8 : iPhone XR (Global/A2105)
iPhone12,1 : iPhone 11 (Global/A2221)
iPhone12,3 : iPhone 11 Pro (Global/A2215)
iPhone12,5 : iPhone 11 Pro Max (Global/A2218)
iPhone12,8 : iPhone SE (2 - 4.7" 2020 Global A2296)
iPhone13,1 : iPhone 12 mini (Global/A2399)
iPhone13,2 : iPhone 12 (Global/A2403)
iPhone13,3 : iPhone 12 Pro (Global/A2407)
iPhone13,4 : iPhone 12 Pro Max (Global/A2411)
iPhone14,4 : iPhone 13 mini (Global/A2628)
iPhone14,5 : iPhone 13 (Global/A2633)
iPhone14,2 : iPhone 13 Pro (Global/A2638)
iPhone14,3 : iPhone 13 Pro Max (Global/A2643)
iPod1,1 : iPod touch Original/1st Gen
iPod2,1 : iPod touch 2nd Gen
iPod3,1 : iPod touch 3rd Gen/32 & 64 GB
iPod4,1 : iPod touch 4th Gen/FaceTime
iPod5,1 : iPod touch 5th Gen
iPod7,1 : iPod touch 6th Gen, 2015
iPod9,1 : iPod touch 7th Gen, 2019
